ProductCode,Name,Quantity
1318073903,ไฮยีนปรับเข้มข้น มอร์นิ่งบลูมม่วง 150,10
1319173901,ไฮยีนปรับเข้มข้น ดิลิเซียสมิ้นท์ 1100,12
1319174925,ไขยืนปรับเข้มซันดิลิเชียสมิ้นท์ 100แพ็ค,12
1319183904,ไฮยีนปรับเข้มข้น ดิลิเชียสชมพู 1100,12
1319184928,ไขยืนปรับเข้มซันคิลิเชียสชมพู 1100แพ็ค,12
1319233258,ไฮยีนปรับเข้มข้น ฟอร์เอเวอร์ชมพู 1100,12
1330183207,ไฮยีน-ถุงหอม ซันไรส์ ชมพู 8 กรัม,24
1601303028,ไอวี่ นมเปรี้ยวยูเอชทีพลัส ออริจินอล 1,48
1601313158,ไอวี่ นมเปรี้ยวยูเอชทีพลัส ลิ้นจี่ 180,48
1601333127,ไอวี่ นมเปรี้ยวยูเอชทีพลัส สตอเบอร์รี่!,48
1601343097,ไอวี่ นมเปรี้ยวยูเอชทีพลัส ส้ม 180,48
1601443493,ไอวี่ นมเปรี้ยวยูเอชทีพลัส มิกซ์เบอร์รีสแครน!,48
